;Tubothalamea_Miliolida_Alveolinidae_Alveolinella_quoyi;Tubothalamea_Miliolida_Soritidae_Amphisorus_spp.;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii_NBCLAB5174;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lobifera;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Ambon;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Spermonde;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_radiata;Monothalamea_Xenophyophoroidea_Syringamminidae_Aschemonella_monile;Monothalamea_Xenophyophoroidea_???_Bizarria_bryiformis;Globothalamea_Rotaliida_Bolivinitidae_Bolivina_spp.;Tubothalamea_Miliolida_Alveolinidae_Borelis_schlumbergeri;Globothalamea_Rotaliida_Trichohyalidae_Buccella_frigida;Globothalamea_Rotaliida_Trichohyalidae_Buccella_peruviana;Globothalamea_Rotaliida_Calcarinidae_Calcarina_gaudichaudii;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Ambon_&_Calcarina_spengleri;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5164;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5165;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Sumba;Globothalamea_Rotaliida_Cassidulinidae_Cassidulinoides_parkerianus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_lobatulus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_wuellerstorfi;Globothalamea_Rotaliida_Notorotaliidae_Cribrorotalia_sp.;Globothalamea_Lituolida_Ammosphaeroidinidae_Cribrostomoides;Globothalamea_Textulariida_???_Cyrea_szymborska;Globothalamea_Rotaliida_Rosalinidae_Discanomalina_coronata;Globothalamea_Lituolida_Prolixoplectidae_Eggerelloides_scaber;Globothalamea_Rotaliida_Elphidiidae_Elphidium_williamsoni;Globothalamea_Lituolida_Trochamminidae_Entzia_macrescens;Globothalamea_Rotaliida_Pseudoparrellidae_Epistominella_exigua;Globothalamea_Rotaliida_Glabratellidae_Glabratella_sp.;Globothalamea_Rotaliida_Glabratellidae_Glabratellina_sp._&_Planoglabratella_opercularis_&_Planoglabratella_sp.;Globothalamea_Rotaliida_Globobuliminidae_Globobulimina_sp.;Globothalamea_Rotaliida_Cassidulinidae_Globocassidulina_biora;Globothalamea_Rotaliida_Haynesinidae_Haynesina_germanica;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp1;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp2;Monothalamea_Group_3_Lacogromiidae_Lacogromia_cassipara;Tubothalamea_Miliolida_Soritidae_Marginopora_vertebralis;Monothalamea_Allogromiida_Allogromiidea_Micrometula_sp.;Globothalamea_Rotaliida_Murrayinellidae_Murayinella_globosa;Globothalamea_Rotaliida_Nummulitidae_Neoassilina_ammonoides;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_calcar;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_gaimardi_&_Baculoglypsina_sphaerulata;Globothalamea_Rotaliida_Notorotaliidae_Notorotalia_finlayi;Globothalamea_Rotaliida_Nummulitidae_Nummulites_venosus;Globothalamea_Rotaliida_Nummulitidae_Operculina_ammonoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_complanata;Globothalamea_Rotaliida_Nummulitidae_Operculina_heterosteginoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_sp.;Globothalamea_Rotaliida_Nummulitidae_Operculinella_cumingii;Globothalamea_Rotaliida_Globigerinidae_Orbulina_universa;Globothalamea_Rotaliida_Alabaminidae_Oridorsalis_umbonatus;Tubothalamea_Miliolida_Soritidae_Parasorites_sp.;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp1;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp2_&_Peneroplis_pertusus_&_Dendritina_ambigua;Globothalamea_Rotaliida_Nummulitidae_Planostegina_operculinides;Monothalamea_Xenophyophoroidea_Psamminidae_Psammina_limbata;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp1_19298;Globothalamea_Rotaliida_Pulleniidae_Pullenia_subcarinata;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._14698;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._17595;Tubothalamea_Miliolida_Soritidae_Sorites_sp1;Tubothalamea_Miliolida_Soritidae_Sorites_sp2;Globothalamea_Lituolida_Spiroplectamminidae_Spiroplectammina_sp.;Globothalamea_Rotaliida_Stainforthiidae_Stainforthia_sp.;Globothalamea_Textulariida_Textulariidae_Texturalia_gramen;Globothalamea_Rotaliida_Uvigerinidae_Trifarina_earlandi_&_Uvigerina_bifurcata;Globothalamea_Lituolida_Trochamminidae_Trochammina_hadai
Tubothalamea_Miliolida_Alveolinidae_Alveolinella_quoyi;;90.966;66.563;66.873;67.183;67.183;66.254;67.802;66.452;64.839;69.677;98.754;67.419;67.097;68.421;67.492;68.111;67.802;68.111;66.563;67.097;68.065;67.742;66.774;67.742;68.065;68.608;69.355;68.71;66.129;69.355;68.71;69.677;69.355;69.355;68.71;68.065;67.419;67.802;67.802;67.097;88.474;74.194;67.097;67.742;68.111;67.802;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.516;69.355;90.343;91.277;90.966;68.421;68.71;68.71;68.387;69.355;64.516;67.097;89.097;90.031;68.387;68.387;70.968;69.355;68.71
Tubothalamea_Miliolida_Soritidae_Amphisorus_spp.;90.966;;67.492;67.492;67.802;67.492;66.563;68.111;67.419;66.129;69.032;91.589;67.419;67.097;67.802;67.802;67.492;67.183;67.802;66.254;66.452;67.742;66.774;65.484;67.742;69.677;68.608;70;68.387;66.129;69.677;68.065;69.032;68.71;69.677;68.387;67.419;67.097;67.802;67.802;67.097;96.885;75.484;66.452;68.065;67.802;67.183;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.839;68.71;96.262;98.754;98.442;68.111;69.677;70;70.323;68.065;64.516;67.742;98.131;98.754;69.032;67.742;70.323;68.71;68.387
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii;66.563;67.492;;99.69;99.381;93.808;91.95;92.26;65.161;62.581;87.742;67.802;89.032;88.71;87.307;86.687;86.997;86.997;86.997;86.378;86.452;89.677;87.419;85.161;90;80.645;84.839;88.065;88.387;86.774;83.548;89.677;84.516;84.194;89.677;89.355;89.677;89.677;88.854;88.545;70.323;68.111;69.355;92.903;88.71;86.687;86.687;89.032;88.854;88.235;88.235;89.474;88.235;87.616;89.839;90.323;67.183;67.492;67.183;88.545;68.065;74.194;73.871;85.484;85.161;88.387;68.111;67.492;86.129;90;81.613;90.323;88.71
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii_NBCLAB5174;66.873;67.492;99.69;;99.69;93.498;91.641;91.95;65.484;62.903;88.065;68.111;89.355;89.032;87.616;86.997;87.307;87.307;87.307;86.687;86.774;90;87.742;85.484;90.323;80.968;85.161;88.387;88.71;87.097;83.871;90;84.839;84.516;90;89.677;90;90;89.164;88.854;70.645;68.421;69.677;93.226;89.032;86.997;86.997;89.355;89.164;88.545;88.545;89.783;88.545;87.926;90.161;90.645;67.492;67.802;67.492;88.235;68.387;74.516;74.194;85.806;85.484;88.71;68.111;67.492;86.452;90.323;81.935;90.645;89.032
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lobifera;67.183;67.802;99.381;99.69;;93.808;91.95;92.26;65.806;63.226;88.387;68.421;89.677;89.355;87.926;87.307;87.616;87.616;87.616;86.997;87.097;90.323;88.065;85.806;90.645;81.29;85.484;88.71;89.032;87.419;84.194;90.323;85.161;84.839;90.323;90;90.323;90.323;89.474;89.164;70.968;68.731;70;93.548;89.355;87.307;87.307;89.677;89.474;88.854;88.854;90.093;88.854;88.235;90.484;90.968;67.802;68.111;67.802;88.545;68.71;74.839;74.516;86.129;85.806;89.032;68.421;67.802;86.774;90.645;82.258;90.968;89.355
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Ambon;67.183;67.492;93.808;93.498;93.808;;97.523;97.833;66.129;63.871;88.065;68.421;89.032;88.71;88.545;87.307;88.235;88.235;88.235;86.378;87.742;90.323;88.71;86.774;90;79.032;86.129;89.032;88.71;87.419;83.871;90.323;85.806;85.484;90.323;90;90.323;90;89.164;88.854;70.645;68.111;68.387;92.903;89.355;87.926;87.926;89.677;89.474;89.164;89.164;89.783;89.164;88.545;90.806;91.29;67.183;67.492;67.183;89.474;69.355;73.871;73.548;86.452;85.806;89.355;68.111;67.492;87.419;90.645;82.258;90.968;89.032
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Spermonde;66.254;66.563;91.95;91.641;91.95;97.523;;96.594;65.806;63.548;86.452;67.492;87.419;87.097;86.687;85.449;86.378;86.378;86.378;84.83;85.806;88.71;87.097;85.161;88.387;77.419;84.516;87.419;87.097;85.806;82.258;88.71;84.839;84.516;88.71;88.387;88.71;88.065;87.307;86.997;70.323;67.183;67.419;91.29;87.419;86.068;86.068;88.065;87.616;87.307;87.307;87.926;87.307;86.687;89.194;89.677;66.563;66.563;66.254;87.616;69.032;72.903;72.581;84.516;84.194;87.742;67.183;66.873;85.806;89.032;80.645;89.355;87.419
Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_radiata;67.802;68.111;92.26;91.95;92.26;97.833;96.594;;65.161;64.194;87.419;69.04;88.387;88.065;88.235;86.997;87.926;87.926;87.926;86.068;87.419;89.677;88.065;86.129;89.355;78.71;86.774;89.032;88.71;86.774;83.548;89.677;86.129;85.806;89.677;89.355;89.677;89.032;88.235;87.926;70.968;68.421;68.065;92.258;88.387;87.616;87.616;89.032;88.545;88.235;88.235;88.854;88.235;87.616;90.161;90.645;67.802;68.111;67.802;88.545;69.032;73.871;73.548;85.484;85.161;88.71;68.731;68.111;87.419;90;81.935;90.323;89.032
Monothalamea_Xenophyophoroidea_Syringamminidae_Aschemonella_monile;66.452;67.419;65.161;65.484;65.806;66.129;65.806;65.161;;84.194;67.419;66.452;66.774;66.452;68.387;68.387;68.387;68.065;68.065;67.419;68.71;65.806;65.161;63.226;67.419;68.387;69.355;68.71;68.065;66.774;72.581;67.419;66.129;65.806;66.443;65.484;66.774;68.065;68.065;67.742;71.935;68.065;69.677;66.452;68.71;69.032;68.065;67.419;68.71;68.065;68.387;68.065;68.71;67.419;67.785;67.097;66.452;67.419;67.097;67.419;92.903;72.258;71.935;65.806;64.194;67.419;66.774;67.097;68.387;66.774;69.677;66.774;68.065
Monothalamea_Xenophyophoroidea_???_Bizarria_bryiformis;64.839;66.129;62.581;62.903;63.226;63.871;63.548;64.194;84.194;;63.226;65.161;62.581;62.258;66.452;66.452;66.452;66.452;66.774;66.452;67.097;63.548;60.968;59.032;62.903;70;67.742;65.161;66.129;62.258;70.968;63.226;61.935;61.613;62.416;62.903;62.581;65.161;65.161;64.839;71.613;66.452;68.71;63.226;66.129;66.774;66.129;62.903;65.806;65.484;65.484;65.161;65.484;65.806;63.758;63.226;65.484;66.129;65.806;64.516;86.774;72.258;71.935;60.323;58.387;62.581;65.161;65.484;65.806;63.226;69.677;62.903;65.484
