field.nmbr;registr.code;Species;reads;Identity;Phylum;Class;Order;Family;Genus;Type
E-UPG92-rf1;NBC.LAB.5465f;Alveolinella_quoyi;6;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf2;NBC.LAB.5466a;Alveolinella_quoyi;37;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf2;NBC.LAB.5466b;Alveolinella_quoyi;40;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf2;NBC.LAB.5466c;Alveolinella_quoyi;98;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf2;NBC.LAB.5466d;Alveolinella_quoyi;86;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf2;NBC.LAB.5466e;Alveolinella_quoyi;65;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-06;NBC.LAB.5451b;Alveolinella_quoyi;5;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455g;Alveolinella_quoyi;64;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455d;Alveolinella_quoyi;22;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455e;Alveolinella_quoyi;70;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455c;Alveolinella_quoyi;9;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf2;NBC.LAB.5456a;Alveolinella_quoyi;6;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf2;NBC.LAB.5456e;Alveolinella_quoyi;7;80.731;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-15;NBC.LAB.5453c;Alveolinella_quoyi;29;87.227;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-12;NBC.LAB.5452d;Alveolinella_quoyi;53;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-12;NBC.LAB.5452b;Alveolinella_quoyi;113;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-12;NBC.LAB.5452c;Alveolinella_quoyi;68;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-12;NBC.LAB.5452a;Alveolinella_quoyi;115;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-12;NBC.LAB.5452f;Alveolinella_quoyi;121;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-12;NBC.LAB.5452g;Alveolinella_quoyi;383;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-15;NBC.LAB.5453b;Alveolinella_quoyi;6;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-15;NBC.LAB.5453a;Alveolinella_quoyi;7;94.969;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG90-06;NBC.LAB.5461a;Alveolinella_quoyi;8;95.639;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG90-06;NBC.LAB.5461a;Alveolinella_quoyi;6;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf1;NBC.LAB.5465c;Alveolinella_quoyi;13;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
E-UPG92-rf1;NBC.LAB.5465f;Alveolinella_quoyi;19;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG90-06;NBC.LAB.5451e;Alveolinella_quoyi;9;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG91-rf1;NBC.LAB.5454f;Alveolinella_quoyi;59;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG91-rf1;NBC.LAB.5454e;Alveolinella_quoyi;17;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG91-rf1;NBC.LAB.5454d;Alveolinella_quoyi;13;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG91-rf1;NBC.LAB.5454c;Alveolinella_quoyi;21;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG91-rf1;NBC.LAB.5454a;Alveolinella_quoyi;26;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG91-rf1;NBC.LAB.5454b;Alveolinella_quoyi;37;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455g;Alveolinella_quoyi;89;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455e;Alveolinella_quoyi;83;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
S-UPG92-rf1;NBC.LAB.5455f;Alveolinella_quoyi;112;95.95;Foraminifera;Tubothalamea;Miliolida;Alveolinidae;Alveolinella;LBF
